# t (s)	mx ()	my ()	mz ()
0	-4.6384936e-09	9.88579e-09	0.041604765
1.0017535418072692e-10	0.56846124	-0.081465304	-0.044518474
2.0020581223035379e-10	0.7550299	0.06183312	0.0076260883
3.0018346304996795e-10	0.7472383	-0.10160587	-0.02101769
4.00104328651974e-10	0.8047609	0.006559351	-0.0066903974
5.000505870325139e-10	0.8429866	-0.07762353	-0.004721944
6.000415264821356e-10	0.827428	-0.003197813	0.027782638
7.001745714209104e-10	0.8754989	-0.083789244	-0.008626637
8.001293291637811e-10	0.9200596	0.0012004537	0.016867368
9.001322164037554e-10	0.89250237	-0.05575363	-0.041578844
1.0000598995003899e-09	0.9221223	-0.068467565	0.036147285
1.1000818047002135e-09	0.9499951	0.018878294	-0.019535966
1.2001040824766081e-09	0.93850154	-0.09469189	0.0009774185
1.3003036371202878e-09	0.9500738	0.018849596	-0.0037341136
1.4000621375868348e-09	0.9538233	-0.09295391	-0.020087598
